Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Bhutan,0.00010527541833656068,0.25555555555555554,0.4727554179566564,0.5966334164588529,0.5570422535211268,0.004615384615384616,0.005,0.012779552715654952,0.008333333333333333,11,1.8819866434921917,0.0307282706643729,O-,B+
Bolivia,0.0014924807772918756,0.5258585858585859,0.47832817337461303,0.16801745635910226,0.045774647887323945,0.3376923076923077,0.34125,0.17252396166134185,0.08333333333333334,12,1.2179788634796251,0.9347996026869829,AB+,O+
Bosnia and Herzegovina,0.0004884267318131037,0.11111111111111105,0.6811145510835914,0.22693266832917708,0.3873239436619718,0.38461538461538464,0.875,0.6389776357827476,0.8333333333333334,13,1.4064822741858514,2.7319263537314655,O+,A-
Brazil,0.02723298145398986,0.21212121212121204,0.6191950464396285,0.10224438902743144,0.14084507042253522,0.6923076923076923,1.0,0.6389776357827476,0.4166666666666667,14,1.0744057180108073,2.7479519947571065,B+,A-
Bulgaria,0.0008912813401257363,0.0505050505050505,0.7244582043343653,0.2518703241895262,0.44366197183098594,0.38461538461538464,0.825,0.7028753993610224,1.0,15,1.470495550859928,2.912490783976407,O+,AB-
Burkina Faso,0.0027459203839801565,0.2917171717171716,0.21021671826625382,0.6739401496259352,0.3288732394366197,0.25846153846153846,0.21875,0.7092651757188498,0.35833333333333334,16,1.5047472790459802,1.5448100475137216,A+,B-
Cambodia,0.002172681871288072,0.4282828282828284,0.4086687306501548,0.4295511221945137,0.3098591549295775,0.1,0.1,0.1597444089456869,0.08333333333333334,17,1.5763618360570744,0.4430777422790203,AB-,B+
Cameroon,0.003564456876533188,0.4309090909090909,0.3142414860681115,0.509351620947631,0.26690140845070426,0.1376923076923077,0.115,0.25559105431309903,0.13333333333333333,18,1.5214036063755376,0.6416166953387401,A-,B+
Canada,0.004844443633572417,0.2727272727272727,0.6811145510835914,0.08977556109725687,0.14084507042253522,0.5384615384615385,0.75,0.44728434504792325,0.4166666666666667,19,1.1844624553306562,2.152412550176128,B+,A-
Chile,0.0023347578424821806,0.6286868686868686,0.4074303405572756,0.1265586034912718,0.09859154929577463,0.2530769230769231,0.20375,0.15654952076677314,0.10833333333333334,20,1.2612673620311905,0.7217097771770296,AB+,O+
China,0.17983950244862668,0.4545454545454545,0.43343653250774,0.44513715710723195,0.35915492957746475,0.023076923076923078,0.05,0.09584664536741214,0.08333333333333334,21,1.6922740737378912,0.2522569017776686,O-,O+
Colombia,0.006309905101897292,0.6222222222222221,0.3749226006191951,0.07980049875311723,0.06830985915492957,0.39461538461538465,0.3375,0.22364217252396162,0.25833333333333336,22,1.145255180749464,1.2140908904726797,AB+,O+
Costa Rica,0.0006508392607564205,0.48888888888888904,0.44891640866873067,0.23940149625935164,0.176056338028169,0.26153846153846155,0.2375,0.28753993610223644,0.16666666666666669,23,1.3532631318451402,0.9532450643073647,AB-,O+
Croatia,0.0005388795173365829,0.07070707070707061,0.6811145510835914,0.3204488778054863,0.31690140845070425,0.38461538461538464,0.75,0.9584664536741214,0.8333333333333334,24,1.3891719080468525,2.9264151716228395,O+,B-
Cuba,0.0014177527348781765,0.4101010101010101,0.6037151702786379,0.17082294264339154,0.16901408450704225,0.27692307692307694,0.35,0.3194888178913738,0.16666666666666669,25,1.3536532075300818,1.1130785614811174,AB-,A+
Cyprus,0.0001579272793979652,0.1963636363636363,0.8157894736842106,0.19918952618453867,0.2971830985915493,0.29615384615384616,0.435,0.2779552715654952,0.33333333333333337,26,1.508525734823935,1.342442451052675,O+,A+
Czech Republic,0.0013718795019696855,0.030303030303030276,0.6811145510835914,0.3204488778054863,0.45774647887323944,0.38461538461538464,0.75,0.9584664536741214,0.8333333333333334,27,1.4896129380653476,2.9264151716228395,O+,B-
Democratic Republic of the Congo,0.013089359468062181,0.686868686868687,0.2260061919504644,0.3266832917705736,0.13380281690140844,0.07692307692307693,0.0375,0.06389776357827476,0.08333333333333334,28,1.3733609874911334,0.26165417383468503,A-,O+
Denmark,0.0007500854580077804,0.19191919191919193,0.7120743034055728,0.10224438902743144,0.24647887323943662,0.46153846153846156,0.875,0.6389776357827476,0.8333333333333334,29,1.252716757591633,2.8088494306545426,B+,A-
Dominican Republic,0.0013457897150737964,0.4181818181818182,0.3839009287925696,0.37967581047381543,0.18309859154929578,0.28461538461538466,0.2625,0.44728434504792325,0.16666666666666669,30,1.364857148997499,1.1610663963299745,AB-,B-
Ecuador,0.0021698364401950927,1.0,0.0,0.07418952618453867,0.0,0.18307692307692308,0.0875,0.09584664536741214,0.016666666666666666,31,1.0741895261845387,0.3830902351110019,A+,O+
Egypt,0.013390946216863877,0.13010101010101005,0.6538699690402476,0.57356608478803,0.6507042253521128,0.0,0.0,0.0,0.0,32,2.0082412892814006,0.0,O-,A+
El Salvador,0.0008287818199070766,0.7373737373737373,0.27863777089783287,0.19576059850374067,0.035211267605633804,0.07692307692307693,0.125,0.22364217252396162,0.25,33,1.2469833743809446,0.6755652494470386,AB+,O+
Estonia,0.000153031753605586,0.08080808080808077,0.5201238390092879,0.4981296758104738,0.4084507042253521,0.33076923076923076,0.5625,0.9584664536741214,0.75,34,1.5075122998531945,2.6017356844433523,O+,B-
Ethiopia,0.013904108013440162,0.2727272727272727,0.43343653250774,0.5074812967581048,0.31690140845070425,0.23076923076923078,0.25,0.3194888178913738,0.8333333333333334,35,1.5305465104438218,1.6335913819939378,O-,AB-
Fiji,0.00011538128521654541,0.3535353535353535,0.5975232198142415,0.36720698254364087,0.3028169014084507,0.07692307692307693,0.0875,0.1597444089456869,0.16666666666666669,36,1.6210824573016867,0.4908341525354305,O-,A+
Finland,0.0007117794996599421,0.0505050505050505,0.6501547987616099,0.3516209476309227,0.45774647887323944,0.38461538461538464,0.75,0.6389776357827476,0.8333333333333334,37,1.5100272757708226,2.6069263537314655,O+,AB-
France,0.008723872634038456,0.2222222222222222,0.7492260061919507,0.09289276807980051,0.14084507042253522,0.5,0.85,0.44728434504792325,0.33333333333333337,38,1.2051860669165086,2.130617678381257,B+,A-
Gabon,0.00028892697982708926,0.6474747474747474,0.2018575851393189,0.38871571072319205,0.14366197183098592,0.10384615384615385,0.06,0.13099041533546324,0.05,39,1.3817100151682442,0.3448365691816171,AB-,O+
Georgia,0.0006296996774217996,0.18787878787878776,0.5665634674922599,0.22381546134663344,0.3873239436619718,0.47692307692307695,0.7125,0.670926517571885,0.8333333333333334,40,1.365581660379653,2.6936829278282954,O+,AB-
