Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-,Country_Num,Continent,Total_Rh_Pos,Total_Rh_Neg,Rarest_Blood_Type,Most_Common_Blood_Type
Lebanon,5469612,38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7,64,Asia,83.39999999999999,16.599999999999998,AB-,O+
Libya,6890535,42.64,28.86,11.19,4.5,6.26,4.24,1.64,0.67,65,Africa,87.19,12.81,AB-,O+
Liechtenstein,39137,34.0,37.0,10.0,4.0,6.0,6.5,1.8,0.7,66,Europe,85.0,15.0,AB-,A+
Lithuania,2731464,36.0,33.0,11.0,4.0,7.0,6.0,2.0,1.0,67,Europe,84.0,16.0,AB-,O+
Luxemburg,628381,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0,68,Europe,85.0,15.0,AB-,A+
Macao,614458,41.5,26.1,25.4,6.3,0.33,0.17,0.15,0.05,69,Asia,99.3,0.7000000000000001,AB-,O+
Malaysia,32652083,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04,70,Asia,99.5,0.5,AB-,O+
Malta,457267,38.0,41.0,7.0,3.0,5.0,4.5,1.0,0.5,71,Europe,89.0,11.0,AB-,A+
Mauritania,4005475,46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2,72,Africa,94.29999999999998,5.7,AB-,O+
Mauritius,1379365,38.3,26.0,25.0,6.7,1.7,1.0,1.0,0.3,73,Africa,96.0,4.0,AB-,O+
Mexico,128649565,59.09,26.23,8.53,1.73,2.73,1.21,0.4,0.08,74,North America,95.58000000000001,4.42,AB-,O+
Moldova,3364496,28.5,31.8,17.6,7.0,5.0,6.0,3.0,1.1,75,Europe,84.9,15.1,AB-,A+
Mongolia,3198913,38.45,22.89,29.93,7.83,0.35,0.21,0.27,0.07,76,Asia,99.10000000000001,0.8999999999999999,AB-,O+
Morocco,35561654,42.3,40.8,14.0,4.0,4.5,3.1,1.5,0.4,77,Africa,101.1,9.5,AB-,O+
